,ĞŞÊÎÎ»µãÊı
Unigene029204_01.p1,3
Unigene045693_01.p1,3
Unigene015917_01.p1,3
Unigene041124_01.p1,3
Unigene050398_01.p1,3
Unigene009965_02.p1,3
Unigene011381_01.p1,3
Unigene013408_01.p1,3
Unigene037502_01.p1,3
Unigene002759_02.p1,3
Unigene042943_01.p1,3
Unigene015357_01.p1,3
Unigene004406_01.p1,3
Unigene010874_02.p1,3
Unigene017929_01.p1,3
Unigene033981_01.p1,3
Unigene008966_01.p1,3
Unigene045386_01.p1,3
Unigene014668_01.p1,3
Unigene028816_01.p1,3
Unigene016151_01.p1,3
Unigene001000_01.p1,3
Unigene004556_02.p1,3
Unigene015307_01.p1,3
Unigene045561_01.p1,3
Unigene030403_01.p1,3
Unigene018580_01.p1,3
Unigene002904_02.p1,3
Unigene018272_01.p1,3
Unigene021986_01.p1,3
Unigene002931_01.p2,3
Unigene019077_01.p1,3
Unigene025092_01.p1,3
Unigene009627_01.p1,3
Unigene029234_01.p1,3
Unigene035371_01.p1,3
Unigene047270_01.p1,3
Unigene039035_01.p1,3
Unigene025423_01.p1,3
Unigene006362_01.p1,3
Unigene011012_02.p1,3
Unigene005913_02.p1,3
Unigene048145_01.p1,3
Unigene000192_02.p1,3
Unigene048771_01.p1,3
Unigene039945_01.p1,3
Unigene000159_01.p1,3
Unigene023555_01.p2,3
Unigene029440_01.p1,3
Unigene008134_01.p1,3
Unigene044883_01.p1,3
Unigene046299_02.p1,3
Unigene010846_02.p1,3
Unigene026058_01.p1,3
Unigene020205_01.p1,3
Unigene022353_01.p1,3
Unigene010934_01.p1,3
Unigene048563_01.p1,3
Unigene001500_03.p1,3
Unigene016262_01.p1,3
Unigene049558_01.p1,3
Unigene036326_01.p1,3
Unigene024112_01.p1,3
Unigene050121_01.p1,3
Unigene001255_01.p2,3
Unigene004804_02.p1,3
Unigene016248_01.p1,3
Unigene045008_01.p1,3
Unigene031374_01.p1,3
Unigene015962_01.p1,3
Unigene007082_01.p1,3
Unigene043328_01.p1,3
Unigene045046_01.p1,3
Unigene048870_01.p1,4
Unigene023844_01.p1,4
Unigene043974_01.p1,4
Unigene043591_01.p1,4
Unigene036112_01.p1,4
Unigene040204_01.p1,4
Unigene035558_01.p1,4
Unigene032067_01.p1,4
Unigene021415_01.p1,4
Unigene033839_01.p1,4
Unigene001729_02.p1,4
Unigene001911_01.p1,4
Unigene029706_02.p1,4
Unigene021938_01.p1,4
Unigene002330_03.p1,4
Unigene017865_02.p1,4
Unigene025866_01.p1,4
Unigene002542_02.p1,4
Unigene049739_01.p1,4
Unigene037493_01.p1,4
Unigene029073_01.p1,4
Unigene039010_01.p1,4
Unigene042116_01.p1,4
Unigene043860_01.p1,4
Unigene032416_01.p1,4
Unigene000732_01.p1,4
Unigene028673_01.p1,4
Unigene001604_03.p1,4
Unigene006392_02.p1,4
Unigene034517_01.p1,4
Unigene043562_01.p1,4
Unigene020576_01.p1,4
Unigene024090_01.p1,4
Unigene034957_01.p1,4
Unigene014891_01.p1,4
Unigene037058_01.p1,4
Unigene047719_01.p1,4
Unigene027338_01.p1,4
Unigene032949_01.p1,4
Unigene045839_01.p1,4
Unigene021957_01.p1,4
Unigene011068_01.p1,4
Unigene015976_01.p1,4
Unigene026915_01.p1,4
Unigene043400_01.p1,4
Unigene005407_01.p1,4
Unigene045472_01.p1,4
Unigene048540_01.p1,4
Unigene026062_01.p1,4
Unigene016939_01.p1,4
Unigene039791_01.p1,4
Unigene023088_01.p1,4
Unigene047772_01.p1,4
Unigene005812_03.p1,4
Unigene006296_02.p1,4
Unigene045398_01.p1,4
Unigene000657_01.p1,4
Unigene035850_01.p1,4
Unigene033193_01.p1,4
Unigene029127_01.p1,4
Unigene031226_01.p1,4
Unigene001886_01.p1,4
Unigene049199_01.p1,4
Unigene031257_01.p1,4
Unigene039663_01.p1,4
Unigene043314_01.p1,4
Unigene007648_01.p1,4
Unigene008036_01.p1,4
Unigene041735_01.p1,4
Unigene048182_01.p1,4
Unigene014130_01.p1,4
